course	date	score
MAT247	20170118	2.0
MAT247	20170126	16.0
MAT247	20170201	4.0
MAT247	20170208	4.0
MAT247	20170228	8.0
MAT247	20170302	4.0
MAT247	20170309	0.0
MAT247	20170315	2.0
MAT247	20170322	2.0
MAT247	20170330	2.0
MAT247	20170406	4.0
MAT157	20160919	4.0
MAT157	20160923	16.0
MAT157	20160930	128.0
MAT157	20161021	32.0
MAT157	20161028	8.0
MAT157	20161104	8.0
MAT157	20161122	4.0
MAT157	20161205	4.0
MAT157	20170112	4.0
MAT157	20170119	2.0
MAT157	20170126	16.0
MAT240	20160923	4.0
MAT240	20160930	4.0
MAT240	20161006	16.0
MAT240	20161014	2.0
MAT240	20161018	4.0
MAT240	20161028	2.0
MAT240	20161105	2.0
MAT240	20161128	4.0
